How familiar are you with the field of Big Data?,What is your personal definition of big data?,What challenges are associated with managing those Big Data?,What is your idea about the main purpose of Big Data?," Are you aware of how big data is used in various industries, including healthcare, tech, finance,etc",Do you agree the security of healthcare (patient) data is important?,"How familiar are you with the use patient data for research in the healthcare field (for e.g. , COVID 19)?",What do you think how recorded healthcare data are typically used?,To what extent do you trust  healthcare providers(Hospitals) storing your data securely?,Do you agree that obtaining informed consent is crucial when utilizing healthcare data for big data analytics?,Can you accept that your healthcare data is being used  in big data analytics without letting you know?,To what extent do you think healthcare organizations should be transparent about how patient data is used in big data analytics ?,To what extent do you believe you should have control over how your health data is used in big data analytics?,Do you agree that the patient data being used WITHOUT Informed consent is acceptable even for good purposes (like in COVID - 19) 
Somewhat Familiar,Data that exceeds the processing capacity of normal database systems,Ensuring data security and privacy,To Analyze the data,Somewhat Aware,Strongly agree,Somewhat familiar,For Research to create new medicines,Trust to some extent,Agree,No,Completely transparent,Somewhat Control,Neutral
Somewhat Familiar,Data that exceeds the processing capacity of normal database systems,Ensuring data security and privacy,To Analyze the data,Neutral,Strongly agree,Neutral,"For Research to create new medicines, To monitor patient health and treatment progress",Trust to some extent,Neutral,"Yes , I can accept",Completely transparent,Neutral,Strongly agree
Very unfamiliar,Data that is complex and difficult to analyze,Ensuring data security and privacy,To Analyze the data,Somewhat Aware,Strongly agree,Somewhat familiar,"For Research to create new medicines, To monitor patient health and treatment progress, To reduce the cost of medicine",Trust to some extent,Strongly agree,"Maybe , not sure.",Somewhat transparent,Somewhat Control,Neutral
Somewhat unfamiliar,Data that is complex and difficult to analyze,Ensuring data security and privacy,To Analyze the data,Somewhat Aware,Agree,Neutral,"For Research to create new medicines, To monitor patient health and treatment progress",Do not trust much,Agree,"Yes , I can accept",Somewhat transparent,Neutral,Agree
Neutral,Data that is used in big data center,Ensuring data security and privacy,To Analyze the data,Neutral,Agree,Somewhat familiar,"For Research to create new medicines, To monitor patient health and treatment progress, To reduce the cost of medicine",Trust to some extent,Agree,"Yes , I can accept",Somewhat transparent,Neutral,Strongly agree
Somewhat unfamiliar,Data that is complex and difficult to analyze,Dealing with government,To Secure the data,Somewhat Aware,Agree,Somewhat familiar,To monitor patient health and treatment progress,Trust to some extent,Agree,"Yes , I can accept",Somewhat transparent,Somewhat Control,Strongly agree
Somewhat unfamiliar,Data that is complex and difficult to analyze,Ensuring data security and privacy,To Secure the data,Somewhat Aware,Agree,Somewhat unfamiliar,"For Research to create new medicines, To monitor patient health and treatment progress",Neutral,Neutral,"Maybe , not sure.",Somewhat transparent,Neutral,Agree
Somewhat Familiar,Data that exceeds the processing capacity of normal database systems,Maintaining compatibility with legacy systems,To Analyze the data,Somewhat Aware,Agree,Somewhat familiar,To monitor patient health and treatment progress,Neutral,Neutral,"Maybe , not sure.",Neutral,Somewhat Control,Agree
Somewhat Familiar,Data that is used in big data center,Maintaining compatibility with legacy systems,To Analyze the data,Somewhat Aware,Neutral,Somewhat unfamiliar,"For Research to create new medicines, To monitor patient health and treatment progress",Trust to some extent,Agree,"Maybe , not sure.",Somewhat transparent,Somewhat Control,Agree
Very familiar,Data that exceeds the processing capacity of normal database systems,Ensuring data security and privacy,To Analyze the data,Somewhat Aware,Strongly agree,Somewhat familiar,"For Research to create new medicines, To monitor patient health and treatment progress",Trust to some extent,Agree,No,Completely transparent,Completely Control,Neutral
Somewhat Familiar,Data that is complex and difficult to analyze,Dealing with government,To Analyze the data,Somewhat Aware,Strongly agree,Somewhat familiar,"For Research to create new medicines, To monitor patient health and treatment progress",Trust to some extent,Strongly agree,"Maybe , not sure.",Somewhat transparent,Somewhat Control,Agree
Somewhat Familiar,Data that is used in big data center,Dealing with government,To Secure the data,Somewhat Aware,Agree,Somewhat familiar,To monitor patient health and treatment progress,Trust to some extent,Agree,"Yes , I can accept",Somewhat transparent,Neutral,Agree
Very familiar,Data that is used in big data center,Ensuring data security and privacy,To Analyze the data,Somewhat Aware,Strongly agree,Somewhat familiar,For Research to create new medicines,Trust to some extent,Agree,No,Somewhat transparent,Somewhat Control,Neutral
